Date,Trades,Wins,Losses,Win %,P&L,Avg P&L
2025-01-02,19,8,11,42.1%,"$1,026.86",$54.05
2025-01-03,5,3,2,60.0%,$629.79,$125.96
2025-01-06,11,6,5,54.5%,"$1,291.04",$117.37
2025-01-07,19,7,12,36.8%,$627.98,$33.05
2025-01-08,11,6,5,54.5%,$869.16,$79.01
2025-01-10,17,8,9,47.1%,"$1,234.22",$72.60
2025-01-13,11,5,6,45.5%,$419.02,$38.09
2025-01-14,15,9,6,60.0%,"$1,441.30",$96.09
2025-01-15,13,6,7,46.2%,$978.88,$75.30
2025-01-16,18,7,11,38.9%,$854.18,$47.45
2025-01-17,12,5,7,41.7%,$212.43,$17.70
2025-01-20,4,0,4,0.0%,$-203.85,$-50.96
2025-01-21,10,6,4,60.0%,$630.55,$63.05
2025-01-22,10,3,7,30.0%,$130.15,$13.01
2025-01-23,11,3,8,27.3%,$164.08,$14.92
2025-01-24,17,8,9,47.1%,"$1,404.34",$82.61
2025-01-27,15,10,5,66.7%,"$1,380.13",$92.01
2025-01-28,19,8,11,42.1%,$506.75,$26.67
2025-01-29,11,4,7,36.4%,$-122.73,$-11.16
2025-01-30,10,6,4,60.0%,$914.29,$91.43
2025-01-31,13,4,9,30.8%,$318.88,$24.53
2025-02-03,19,10,9,52.6%,"$1,207.69",$63.56
2025-02-04,13,3,10,23.1%,$-149.93,$-11.53
2025-02-05,9,6,3,66.7%,"$1,330.25",$147.81
2025-02-06,6,2,4,33.3%,$259.60,$43.27
2025-02-07,9,3,6,33.3%,$-48.34,$-5.37
2025-02-10,7,0,7,0.0%,$-462.70,$-66.10
2025-02-11,5,2,3,40.0%,$432.83,$86.57
2025-02-12,14,5,9,35.7%,$428.04,$30.57
2025-02-13,12,6,6,50.0%,"$1,217.59",$101.47
2025-02-14,6,1,5,16.7%,$-243.39,$-40.56
2025-02-17,4,0,4,0.0%,$-214.82,$-53.70
2025-02-18,13,4,9,30.8%,$263.85,$20.30
2025-02-19,3,1,2,33.3%,$150.51,$50.17
2025-02-20,5,3,2,60.0%,$356.04,$71.21
2025-02-21,10,8,2,80.0%,"$1,639.43",$163.94
2025-02-24,8,7,1,87.5%,"$1,749.51",$218.69
2025-02-25,18,11,7,61.1%,"$1,239.09",$68.84
2025-02-26,15,10,5,66.7%,"$1,898.93",$126.60
2025-02-27,15,10,5,66.7%,"$1,908.89",$127.26
2025-02-28,15,8,7,53.3%,$828.60,$55.24
2025-03-03,11,4,7,36.4%,$154.91,$14.08
2025-03-04,19,10,9,52.6%,"$1,054.24",$55.49
2025-03-05,13,8,5,61.5%,"$1,155.87",$88.91
2025-03-06,6,5,1,83.3%,"$1,503.75",$250.63
2025-03-07,12,7,5,58.3%,$600.83,$50.07
2025-03-10,24,11,13,45.8%,$587.97,$24.50
2025-03-11,21,11,10,52.4%,"$1,819.17",$86.63
2025-03-12,17,10,7,58.8%,"$1,436.54",$84.50
2025-03-13,11,6,5,54.5%,$856.55,$77.87
2025-03-14,16,7,9,43.8%,"$1,043.64",$65.23
2025-03-17,7,4,3,57.1%,$302.76,$43.25
2025-03-18,10,5,5,50.0%,$969.71,$96.97
2025-03-19,20,13,7,65.0%,"$2,375.03",$118.75
2025-03-20,15,6,9,40.0%,$757.69,$50.51
2025-03-21,16,10,6,62.5%,"$2,240.10",$140.01
2025-03-24,6,2,4,33.3%,$54.68,$9.11
2025-03-25,7,3,4,42.9%,$309.13,$44.16
2025-03-26,9,5,4,55.6%,$691.40,$76.82
2025-03-27,19,9,10,47.4%,"$1,033.48",$54.39
2025-03-28,13,6,7,46.2%,"$1,093.93",$84.15
2025-03-31,20,10,10,50.0%,$678.47,$33.92
2025-04-01,16,8,8,50.0%,$937.65,$58.60
2025-04-02,23,15,8,65.2%,"$3,210.90",$139.60
2025-04-03,18,9,9,50.0%,"$1,186.24",$65.90
